Channel name,Description,Subscriber Count,Image Link,Image JSON,Link
Defisuomi,Tietoa ja keskustelua DeFistä eli hajautetuista finanssipalveluista. Selaa läpi kiinnitetyt viestit löytääksesi tietoa!,474,https://cdn4.cdn-telegram.org/file/TvMp_GzfQY73jskNro1kWVR6710-2ZJMgiC_qnsNRAlEcqaLYMPlHreljtzwExpyIQI6zf05e0heimdh3FrK2jTwTxbVHxjaOJyzBBnDcBjpd4owbMJy6pMe94o1H6hlGoTLarK0R0e-_EwxvU02yIK-qBqU-kMGb-ZQ2-p_1jo5V55hyw-C5KxvVrW2T3adtrRCo8LlKzk955fVgQGYwUYcJzJsvVXBborWE6cyrtCOSZDxlICpWm1Ids5Uh3V7nuFhjSBVRbaVoYOYJjyIEMNSIWV50wxlBrMzZsT2DCBA0OfH5TNtOjIsut3KihyFo5RCROqzZQaDlptcbyJwRg.jpg,"{""img_src"": ""https://cdn4.cdn-telegram.org/file/TvMp_GzfQY73jskNro1kWVR6710-2ZJMgiC_qnsNRAlEcqaLYMPlHreljtzwExpyIQI6zf05e0heimdh3FrK2jTwTxbVHxjaOJyzBBnDcBjpd4owbMJy6pMe94o1H6hlGoTLarK0R0e-_EwxvU02yIK-qBqU-kMGb-ZQ2-p_1jo5V55hyw-C5KxvVrW2T3adtrRCo8LlKzk955fVgQGYwUYcJzJsvVXBborWE6cyrtCOSZDxlICpWm1Ids5Uh3V7nuFhjSBVRbaVoYOYJjyIEMNSIWV50wxlBrMzZsT2DCBA0OfH5TNtOjIsut3KihyFo5RCROqzZQaDlptcbyJwRg.jpg""}","{""href"": ""https://t.me/Defisuomi"",""label"":""Link""}"
Deittailujutut,Yleinen keskustelu deittailusta. Sillattu Matrixiin ja Discordiin. Linkit löytyy https://www.deittailu.net/.,29,https://cdn4.cdn-telegram.org/file/OBE1S6zaESSOMen1A0MLbUq0ThC_4P_zjOz-mW3uHDhT-o_Mum6wWIl-4ptvvO07B4TiwNepjksBFmnyZ8pqdiDbvzIQPCL9RZJGOT3dgYA4ahbHmtNdKEOgBsBueT9OhpGlv9JU0fv961VTzksaKHiaiJ_Ck8xROi6teDCXaUmBKrnstgbjTRhSw1snxu0zhH5w_6r4jY7XSk98xsZjUbCVSUC_DNm75wLgY2Sixpr2Rx32Q5S1U10USrnovdmaWbfZliGr0fuN16X2ungk8JYRBmQM_w7elIjPaSXFg3JbOS1O53XgcafAtpiTj-iB3hNCxlV_zeRxl5M6tQYzzQ.jpg,"{""img_src"": ""https://cdn4.cdn-telegram.org/file/OBE1S6zaESSOMen1A0MLbUq0ThC_4P_zjOz-mW3uHDhT-o_Mum6wWIl-4ptvvO07B4TiwNepjksBFmnyZ8pqdiDbvzIQPCL9RZJGOT3dgYA4ahbHmtNdKEOgBsBueT9OhpGlv9JU0fv961VTzksaKHiaiJ_Ck8xROi6teDCXaUmBKrnstgbjTRhSw1snxu0zhH5w_6r4jY7XSk98xsZjUbCVSUC_DNm75wLgY2Sixpr2Rx32Q5S1U10USrnovdmaWbfZliGr0fuN16X2ungk8JYRBmQM_w7elIjPaSXFg3JbOS1O53XgcafAtpiTj-iB3hNCxlV_zeRxl5M6tQYzzQ.jpg""}","{""href"": ""https://t.me/Deittailujutut"",""label"":""Link""}"
Digiturva,@Digiturva on tarkoitettu digitaalisesta kokonaisturvallisuudesta kiinnostuneiden yhteisöksi. 		Kanava on yksityisesti ylläpidetty		Kuva Pete Linforth / Pixabay,39,https://cdn4.cdn-telegram.org/file/NvFQ1gUx-Q6CiDOFryRxPLy1mQ4oazCGNzMHQW-Dvntu4u3tpeF9yAEcXD_6oZCf5KuzZEjB9i97dxGc7Yn1y2TaX42f_dhTxIEn7VaexAhxRH-yJZl655u6YzJXGxBf9hsh61KMyaA761U6jt3IvGULKfyRLndqvfmdPNWh4xjVY7XIP_ABctBfEQDgbu9M7L2RdtVsILMm_x-z8TtcLP51m8XDaOlx6u2_D-3NuOaLB7G3GebYHZoUEbunnMl-PwuduThl0NpltPGhj58tFcH3gEC3ZPXkFTVFpeEkGlhKh63o0kZAGwKojd-14eBrhxKwhvl923hpYF3Lb06HCQ.jpg,"{""img_src"": ""https://cdn4.cdn-telegram.org/file/NvFQ1gUx-Q6CiDOFryRxPLy1mQ4oazCGNzMHQW-Dvntu4u3tpeF9yAEcXD_6oZCf5KuzZEjB9i97dxGc7Yn1y2TaX42f_dhTxIEn7VaexAhxRH-yJZl655u6YzJXGxBf9hsh61KMyaA761U6jt3IvGULKfyRLndqvfmdPNWh4xjVY7XIP_ABctBfEQDgbu9M7L2RdtVsILMm_x-z8TtcLP51m8XDaOlx6u2_D-3NuOaLB7G3GebYHZoUEbunnMl-PwuduThl0NpltPGhj58tFcH3gEC3ZPXkFTVFpeEkGlhKh63o0kZAGwKojd-14eBrhxKwhvl923hpYF3Lb06HCQ.jpg""}","{""href"": ""https://t.me/Digiturva"",""label"":""Link""}"
Digiturva_chat,@Digiturva chat on tarkoitettu digitaalisesta kokonaisturvallisuudesta kiinnostuneiden keskustelupalstaksi		Kanava on yksityisesti ylläpidetty		Kuva Pete Linforth / Pixabay,35,https://cdn4.cdn-telegram.org/file/tWj_IJUvwSPyJeEHGO1RmDi-AGCQSq5VGbrV1utehmEc5xs4mA_sGGEkDHndt7H8jAGHHWrE_XURkvkZQ14Rarp5e3TcIBp8sHq9pwV3HvmkTMwGhxHqL4KBliyNAc7Z55jPjp4L_dsgTsLMWRmsT7qPn47omnrh7xQ6PlDRknq-x2IlUug0bJDDSb6b5hfGV-LY4dM__zVT4hFpmvQnXD0mWWBMYfTZ_nf-1KjiWMFD3LXIlVAN2xtbty1rqiAXGUQbOTc-kBTdIpSRUE1ZB10UDeLlrufNZtyLz2k2Sh2o5vJU8kos-95ykSnN6B1xAbiQ0qELuC1NOhbuiHrfDg.jpg,"{""img_src"": ""https://cdn4.cdn-telegram.org/file/tWj_IJUvwSPyJeEHGO1RmDi-AGCQSq5VGbrV1utehmEc5xs4mA_sGGEkDHndt7H8jAGHHWrE_XURkvkZQ14Rarp5e3TcIBp8sHq9pwV3HvmkTMwGhxHqL4KBliyNAc7Z55jPjp4L_dsgTsLMWRmsT7qPn47omnrh7xQ6PlDRknq-x2IlUug0bJDDSb6b5hfGV-LY4dM__zVT4hFpmvQnXD0mWWBMYfTZ_nf-1KjiWMFD3LXIlVAN2xtbty1rqiAXGUQbOTc-kBTdIpSRUE1ZB10UDeLlrufNZtyLz2k2Sh2o5vJU8kos-95ykSnN6B1xAbiQ0qELuC1NOhbuiHrfDg.jpg""}","{""href"": ""https://t.me/Digiturva_chat"",""label"":""Link""}"
Drummingforfreedomchat,"Drumming for Freedom – Rummut soikoon! -mielenilmaus/performanssin keskustelu- ja ideointiryhmä.		Ei mainontaa tai markkinointia, kiitos! 		Tiedotuskanava: https://t.me/Drummingforfreedom",54,https://cdn4.cdn-telegram.org/file/oz9_kYpuIbP4uQnyeIKJWj2mqviXVUYDfSq5AH7rPFknXPKDg-QDW-gS0zJjnJO8ubcQCJMOsezYD3KmS_xUT5QgL2uZB1RXrpPkrTzEuCTQGKFAntdspBWPj8CIutj82Y-EFtQKv1eBfZRENaeW0c6TnfVrnCMAU3PWRCiGlJeZWHmYRvPE_vaZtuvZzsh0UOyxQatM6cupVL-grKFLjPMAeJ6I8Nzz_ny5MYeRRtfl5r31rnj_JRxNrFSiUKsmVQKmB9Qgd1irY-eom3YpAWswkyc7-BLUGVhoQXrHlzjpwKRwhubY3hw07vRAL01hFwGkosibIfWEPTTwWyE-YA.jpg,"{""img_src"": ""https://cdn4.cdn-telegram.org/file/oz9_kYpuIbP4uQnyeIKJWj2mqviXVUYDfSq5AH7rPFknXPKDg-QDW-gS0zJjnJO8ubcQCJMOsezYD3KmS_xUT5QgL2uZB1RXrpPkrTzEuCTQGKFAntdspBWPj8CIutj82Y-EFtQKv1eBfZRENaeW0c6TnfVrnCMAU3PWRCiGlJeZWHmYRvPE_vaZtuvZzsh0UOyxQatM6cupVL-grKFLjPMAeJ6I8Nzz_ny5MYeRRtfl5r31rnj_JRxNrFSiUKsmVQKmB9Qgd1irY-eom3YpAWswkyc7-BLUGVhoQXrHlzjpwKRwhubY3hw07vRAL01hFwGkosibIfWEPTTwWyE-YA.jpg""}","{""href"": ""https://t.me/Drummingforfreedomchat"",""label"":""Link""}"
Earlo,Höpöpostituskanava :-)		Koitatko tavoittaa henkilön @bauksiittivastaava?		Lisää visasisältöä kanavilta kuten: @vittuvisa	Pelkästään huumori jutut: @earolojokes	@akateemiset		Ponderointisesissiot:	https://cal.com/visap/30min,113,https://cdn4.cdn-telegram.org/file/VES9LahGxwXzyAvy1B1ogqt2AGVR_ALZwkRqZH11Q-A1ny2HH2q2t2B6re5RWM5IC7NfnqGRFjYal6UtO-SzShgsuP0dQ8zkohMsK3ErXKbXh_6DyjCOcZ5VDLH4AlQBzRsBV9s8U98FtlOUFqAIeDVEpHe8SGhkvKhLwodrHMXLlQAcVK2rNj_mV2GUhu4JkjJmIHoPrgXONGZMrLqZoYjBiCgBab7GDoLgCMSQ-fwWwZ6FO6NhdJ-xkyVS3g5l79JVNDkrdqZaQ_Sh6CRY21dmi3_Z_CEvE2SlMEDyM5um4loJJGvDQidgLF5tO7jpr_2zOtWOkOMswWXcF7iEUQ.jpg,"{""img_src"": ""https://cdn4.cdn-telegram.org/file/VES9LahGxwXzyAvy1B1ogqt2AGVR_ALZwkRqZH11Q-A1ny2HH2q2t2B6re5RWM5IC7NfnqGRFjYal6UtO-SzShgsuP0dQ8zkohMsK3ErXKbXh_6DyjCOcZ5VDLH4AlQBzRsBV9s8U98FtlOUFqAIeDVEpHe8SGhkvKhLwodrHMXLlQAcVK2rNj_mV2GUhu4JkjJmIHoPrgXONGZMrLqZoYjBiCgBab7GDoLgCMSQ-fwWwZ6FO6NhdJ-xkyVS3g5l79JVNDkrdqZaQ_Sh6CRY21dmi3_Z_CEvE2SlMEDyM5um4loJJGvDQidgLF5tO7jpr_2zOtWOkOMswWXcF7iEUQ.jpg""}","{""href"": ""https://t.me/Earlo"",""label"":""Link""}"
Elainperainen,"Suomalainen ryhmä ainoastaan lihaa sekä muuta eläinperäistä ravintoa syöville.		""Tervetuloa ravintoketjun huipulle!""		----	Tags:	Lihansyöjä	Ketoosi	Eläinravinto	Carnivore	Lihadieetti	Karppaus",6,https://cdn4.cdn-telegram.org/file/I5l_PrJ0hhUn8dGkLKzwCLnRiUqeHhnczWLY1nJJcWLFIDimZ3HgwUK2EL8G876CebH-mRfH0A2rgtTZIUbgedhtEpW8q1861TzVSSNWwDGM79Eh6pruGB4sq9xWNhEJb5GYeO7m5H6thzYfjxlDowIQ8mRqj20TQb0_Hrs2mBBFsGURf8_w9Sm7Qb2xk1PZiyQ_3pwOlmIkJttmHKi99KjdxfqfWQyvyjNxOYe6bMHvbndKV5Zcgacsro7AlbefiU3UIQVsnjPDaLTC_uVL2SpM13YebRPvllI9epVoTvIxhj7jVM4Cg4U3hdD-SgT-4p4AkY_fMhxztJtQDBSOhA.jpg,"{""img_src"": ""https://cdn4.cdn-telegram.org/file/I5l_PrJ0hhUn8dGkLKzwCLnRiUqeHhnczWLY1nJJcWLFIDimZ3HgwUK2EL8G876CebH-mRfH0A2rgtTZIUbgedhtEpW8q1861TzVSSNWwDGM79Eh6pruGB4sq9xWNhEJb5GYeO7m5H6thzYfjxlDowIQ8mRqj20TQb0_Hrs2mBBFsGURf8_w9Sm7Qb2xk1PZiyQ_3pwOlmIkJttmHKi99KjdxfqfWQyvyjNxOYe6bMHvbndKV5Zcgacsro7AlbefiU3UIQVsnjPDaLTC_uVL2SpM13YebRPvllI9epVoTvIxhj7jVM4Cg4U3hdD-SgT-4p4AkY_fMhxztJtQDBSOhA.jpg""}","{""href"": ""https://t.me/Elainperainen"",""label"":""Link""}"
Elokapina,Elokapina aktiot ja muut tärkeät huudot virtuaalisesti | Ota yhteyttä @kysyelokapinalta,580,https://cdn4.cdn-telegram.org/file/QwSSXrph0Pe2Jn5yzcvVCPTzTn3jRObFapWYGPLMLASI6qOpSZrkZlQhpVkyKA_Yzc9SoHY7dUtDWadKOhIapNnguxmfM9FjceDZqQzIozsdMLyeTPZMm9kfkfoDRYLAO-sY3hmjvMkXFdZ-7sbk_7lSo31j4bWVB0ZGmrJjMvLIU18cMaSx_GR6MnJeUCPA7DYfObw2pRzsM7sVq7G8SzgZw6EsbvYkreI0kp3CfYVixr_swvz6TB18FaNGIU8-rhjhR6-8VcugKLoi3KJdqVlbvI__q2z9RY495ZeUjAT0sxuOy-c7dINYmNquCPiLHlExb98fitlbDqq5PACyXA.jpg,"{""img_src"": ""https://cdn4.cdn-telegram.org/file/QwSSXrph0Pe2Jn5yzcvVCPTzTn3jRObFapWYGPLMLASI6qOpSZrkZlQhpVkyKA_Yzc9SoHY7dUtDWadKOhIapNnguxmfM9FjceDZqQzIozsdMLyeTPZMm9kfkfoDRYLAO-sY3hmjvMkXFdZ-7sbk_7lSo31j4bWVB0ZGmrJjMvLIU18cMaSx_GR6MnJeUCPA7DYfObw2pRzsM7sVq7G8SzgZw6EsbvYkreI0kp3CfYVixr_swvz6TB18FaNGIU8-rhjhR6-8VcugKLoi3KJdqVlbvI__q2z9RY495ZeUjAT0sxuOy-c7dINYmNquCPiLHlExb98fitlbDqq5PACyXA.jpg""}","{""href"": ""https://t.me/Elokapina"",""label"":""Link""}"
Energiakanava,Energia & teknologia	Ilmaista energiaa on ympärillämme.,30,https://cdn4.cdn-telegram.org/file/pyTvDXKS9hVcfLqNvn28TliuL4DVd9HiQpjrgR2gJI-z_K53fpm5UCT4rNCYwUYFbmXZmTEtx6CcynZqczND7uneNM6nf6A1GamizjruIzSkQAEIITpFj0-1YmjE_-d77aUerhucEsq-q1I5a8CFE6Zbtj3R1b3wiiSw6qsZi5RfgPdlsOmyMUnh6WQEWSWH-gZPyoA76mPRisPBNKswM6hAtOcRqJE_wRUZpFOO3kDtW6Kvj5of2wnUNyM-qaqCZbC3i7pFuePD3kRO05YLnkz9mhbrw9ZVrWiIcSx5dXm8DU5TjpioQIyhDm1oJ3WFf6vegDau9febXJdGNhHsXA.jpg,"{""img_src"": ""https://cdn4.cdn-telegram.org/file/pyTvDXKS9hVcfLqNvn28TliuL4DVd9HiQpjrgR2gJI-z_K53fpm5UCT4rNCYwUYFbmXZmTEtx6CcynZqczND7uneNM6nf6A1GamizjruIzSkQAEIITpFj0-1YmjE_-d77aUerhucEsq-q1I5a8CFE6Zbtj3R1b3wiiSw6qsZi5RfgPdlsOmyMUnh6WQEWSWH-gZPyoA76mPRisPBNKswM6hAtOcRqJE_wRUZpFOO3kDtW6Kvj5of2wnUNyM-qaqCZbC3i7pFuePD3kRO05YLnkz9mhbrw9ZVrWiIcSx5dXm8DU5TjpioQIyhDm1oJ3WFf6vegDau9febXJdGNhHsXA.jpg""}","{""href"": ""https://t.me/Energiakanava"",""label"":""Link""}"
Esavonhoitolanssi,You can view and join @esavonhoitolanssi right away.,19,"data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMzIwIiBoZWlnaHQ9IjMyMCIgcHJlc2VydmVBc3BlY3RSYXRpbz0ibm9uZSIgdmlld0JveD0iMCAwIDEwMCAxMDAiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyI%2BPGRlZnM%2BPGxpbmVhckdyYWRpZW50IGlkPSJnIiB4MT0iMCUiIHgyPSIwJSIgeTE9IjAlIiB5Mj0iMTAwJSI%2BPHN0b3Agb2Zmc2V0PSIwJSIgc3RvcC1jb2xvcj0iI2EwZGU3ZSIvPjxzdG9wIG9mZnNldD0iMTAwJSIgc3RvcC1jb2xvcj0iIzU0Y2I2OCIvPjwvbGluZWFyR3JhZGllbnQ%2BPC9kZWZzPjxzdHlsZT50ZXh0e2ZvbnQ6NjAwIDQ0cHggLWFwcGxlLXN5c3RlbSxCbGlua01hY1N5c3RlbUZvbnQsJ1NlZ29lIFVJJyxSb2JvdG8sSGVsdmV0aWNhLEFyaWFsLHNhbnMtc2VyaWYsJ0FwcGxlIENvbG9yIEVtb2ppJywnU2Vnb2UgVUkgRW1vamknLCdTZWdvZSBVSSBTeW1ib2wnOy13ZWJraXQtdXNlci1zZWxlY3Q6bm9uZTt1c2VyLXNlbGVjdDpub25lfTwvc3R5bGU%2BPHJlY3Qgd2lkdGg9IjEwMCIgaGVpZ2h0PSIxMDAiIGZpbGw9InVybCgjZykiLz48dGV4dCB0ZXh0LWFuY2hvcj0ibWlkZGxlIiB4PSI1MCIgeT0iNjYiIGZpbGw9IiNmZmYiPkU8L3RleHQ%2BPC9zdmc%2B","{""img_src"": ""data:image/svg+xml;base64,PHN2ZyB3aWR0aD0iMzIwIiBoZWlnaHQ9IjMyMCIgcHJlc2VydmVBc3BlY3RSYXRpbz0ibm9uZSIgdmlld0JveD0iMCAwIDEwMCAxMDAiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyI%2BPGRlZnM%2BPGxpbmVhckdyYWRpZW50IGlkPSJnIiB4MT0iMCUiIHgyPSIwJSIgeTE9IjAlIiB5Mj0iMTAwJSI%2BPHN0b3Agb2Zmc2V0PSIwJSIgc3RvcC1jb2xvcj0iI2EwZGU3ZSIvPjxzdG9wIG9mZnNldD0iMTAwJSIgc3RvcC1jb2xvcj0iIzU0Y2I2OCIvPjwvbGluZWFyR3JhZGllbnQ%2BPC9kZWZzPjxzdHlsZT50ZXh0e2ZvbnQ6NjAwIDQ0cHggLWFwcGxlLXN5c3RlbSxCbGlua01hY1N5c3RlbUZvbnQsJ1NlZ29lIFVJJyxSb2JvdG8sSGVsdmV0aWNhLEFyaWFsLHNhbnMtc2VyaWYsJ0FwcGxlIENvbG9yIEVtb2ppJywnU2Vnb2UgVUkgRW1vamknLCdTZWdvZSBVSSBTeW1ib2wnOy13ZWJraXQtdXNlci1zZWxlY3Q6bm9uZTt1c2VyLXNlbGVjdDpub25lfTwvc3R5bGU%2BPHJlY3Qgd2lkdGg9IjEwMCIgaGVpZ2h0PSIxMDAiIGZpbGw9InVybCgjZykiLz48dGV4dCB0ZXh0LWFuY2hvcj0ibWlkZGxlIiB4PSI1MCIgeT0iNjYiIGZpbGw9IiNmZmYiPkU8L3RleHQ%2BPC9zdmc%2B""}","{""href"": ""https://t.me/Esavonhoitolanssi"",""label"":""Link""}"
Eshoitolanssi,Hoitolanssi on uuden ajan ryhmä jossa paikallinen hoitohenkilö tarjoaa suoraan palveluitaan ihmisille jotka arvostavat yksilöllistä ja kaikkia ihmisiä tasa-arvoisina pitävää hoitoa.  Motto: Rakkaudesta hoitoalaan ❤️,517,https://cdn4.cdn-telegram.org/file/tmgtgV_0kbdsKZpGGvOTTGHHJxlrywAS8k-SINhBtU8I2k6GGsA59rtpibPwj4yGGUMn9LAL64qPSCfiwNVQmGnJco-qA4NPOh8Nj4VUVrIlDCvk0N97sTcYEKaV_9st7C8c7UoKRIpNbOF8XkaZfDvNgVt0vtUIZdj9mhOyDLIy01Lx081TcRjG76DuYbk4wzM6kh5c4UEJ16owqfFTZHKCBdXAdNWGyUSG1LDkY2s1-aOE6J32I-2dDEreQbFLtd_o0EPM_aqVhS927F-mUmvDVtyc1QGJpP55H3sPIDQSP6DsyhWJ_psCaFC29elgrU2IfJZlGWbzEUUd3rsJOw.jpg,"{""img_src"": ""https://cdn4.cdn-telegram.org/file/tmgtgV_0kbdsKZpGGvOTTGHHJxlrywAS8k-SINhBtU8I2k6GGsA59rtpibPwj4yGGUMn9LAL64qPSCfiwNVQmGnJco-qA4NPOh8Nj4VUVrIlDCvk0N97sTcYEKaV_9st7C8c7UoKRIpNbOF8XkaZfDvNgVt0vtUIZdj9mhOyDLIy01Lx081TcRjG76DuYbk4wzM6kh5c4UEJ16owqfFTZHKCBdXAdNWGyUSG1LDkY2s1-aOE6J32I-2dDEreQbFLtd_o0EPM_aqVhS927F-mUmvDVtyc1QGJpP55H3sPIDQSP6DsyhWJ_psCaFC29elgrU2IfJZlGWbzEUUd3rsJOw.jpg""}","{""href"": ""https://t.me/Eshoitolanssi"",""label"":""Link""}"
Faktatehdas,"Radikaalia totuutta videoiden, kuvien ja memejen muodossa.",205,https://cdn4.cdn-telegram.org/file/CMq2euUl3fJAt_aeuzdkt3CWmwIddKIsaPMysMkZZgWv1cjhbSw6Wk4unC4PsiZzhykIqbdftaJsyoGTxQidjQuamFikAGnMAmNgix8B-qMCPGj__aH_fuJ0zHYteAhvcKTbIJhmOSqFxmJxk6WuQu3IeY9yU47E-puIolCb5PC8n4L4o3awINeaP6XwXDseh9VTL0C4-oYmbXtr8XhLSW2mhmQ8gesvkvutmQH-c9mhWudiJhVfYvhwyFlm1IEQEY5thvYZoQcI4YB7VyXoqjq_AAOLmY8fofxM-nhn7xChVPWmk9bYQ1mUPCCBMmA59n8nKxO_jnVVLJab_89ruA.jpg,"{""img_src"": ""https://cdn4.cdn-telegram.org/file/CMq2euUl3fJAt_aeuzdkt3CWmwIddKIsaPMysMkZZgWv1cjhbSw6Wk4unC4PsiZzhykIqbdftaJsyoGTxQidjQuamFikAGnMAmNgix8B-qMCPGj__aH_fuJ0zHYteAhvcKTbIJhmOSqFxmJxk6WuQu3IeY9yU47E-puIolCb5PC8n4L4o3awINeaP6XwXDseh9VTL0C4-oYmbXtr8XhLSW2mhmQ8gesvkvutmQH-c9mhWudiJhVfYvhwyFlm1IEQEY5thvYZoQcI4YB7VyXoqjq_AAOLmY8fofxM-nhn7xChVPWmk9bYQ1mUPCCBMmA59n8nKxO_jnVVLJab_89ruA.jpg""}","{""href"": ""https://t.me/Faktatehdas"",""label"":""Link""}"
Fennomaa_rekisterointi,Ota yhteyttä: https://t.me/Fennomaa,235,https://cdn4.cdn-telegram.org/file/XCiStRDzCyie-aGvZ4vP7xSNi51btZyl47oh099WF8Q2SyofL2c-yZL__qWfomebPEu4XivPDmSq6X_vkXPE3ZFkskshnZW2-GwG-kzRdR1na9o-B191TkeINGCQ7GYQSOwhCZ4RjeClWdnldbS9P2Ot3dYOE_XJC1_KiXiT4VM_PmoO3kJVQBvsh3ANHsJ5XzU9meSr11572KZyTRE1OhLwxtcSx2SK4oe_Wxj5oKeuccfVQHTIRaB7BuVi5FCk-LQPgP9tDRfWSdrpxETW2ZytCSB9I8oEVQkClQ3WpNuG7EW_klv94PKlrcztma34yUlBZQyDNbiJ_9q95ps95A.jpg,"{""img_src"": ""https://cdn4.cdn-telegram.org/file/XCiStRDzCyie-aGvZ4vP7xSNi51btZyl47oh099WF8Q2SyofL2c-yZL__qWfomebPEu4XivPDmSq6X_vkXPE3ZFkskshnZW2-GwG-kzRdR1na9o-B191TkeINGCQ7GYQSOwhCZ4RjeClWdnldbS9P2Ot3dYOE_XJC1_KiXiT4VM_PmoO3kJVQBvsh3ANHsJ5XzU9meSr11572KZyTRE1OhLwxtcSx2SK4oe_Wxj5oKeuccfVQHTIRaB7BuVi5FCk-LQPgP9tDRfWSdrpxETW2ZytCSB9I8oEVQkClQ3WpNuG7EW_klv94PKlrcztma34yUlBZQyDNbiJ_9q95ps95A.jpg""}","{""href"": ""https://t.me/Fennomaa_rekisterointi"",""label"":""Link""}"
Fennomatkat,"Syksyllä 2022 alkavat Fennomatkat on Fennomaan ja Rustravel Oy:n välisen yhteistyön tulos, jota tukevat myös viralliset kumppanimme Venäjällä. Yhteistyössä tarjoamme luotettavat, hyödylliset ja mielenkiintoiset matkat Venäjälle ja venäläiseen maailmaan.",269,https://cdn4.cdn-telegram.org/file/t2cKwuokTYBfIUNjF4Ki39aZkbSfVPWrN18LuNpFdY-vxj9y0oMg5jIiOzbgibINkU4hE8t2nXTOZQMuNE_noHru59QBK-tMXxBcrzXYSBSoAAGC80suLoDk_3DgahZB1EDkK4xTY3fN33NE1tRTsj7CLVxhPoVvaBycFj95TBgSsE1s6hbZAorcbK09abhr8jIGE7kuonEALAoVJF9uUKHoc0oEylUuFA7gVrh5B93ZBN7hfFopgLPTiDuJyPuaOzNf7494jHJYzirZoiZSYCIfC90Qu4PTQ0OoenUMrlmFr9Rw0RgZVQ1jLi_gbqq4SHUjBmacgpr1zF5h3nRWHQ.jpg,"{""img_src"": ""https://cdn4.cdn-telegram.org/file/t2cKwuokTYBfIUNjF4Ki39aZkbSfVPWrN18LuNpFdY-vxj9y0oMg5jIiOzbgibINkU4hE8t2nXTOZQMuNE_noHru59QBK-tMXxBcrzXYSBSoAAGC80suLoDk_3DgahZB1EDkK4xTY3fN33NE1tRTsj7CLVxhPoVvaBycFj95TBgSsE1s6hbZAorcbK09abhr8jIGE7kuonEALAoVJF9uUKHoc0oEylUuFA7gVrh5B93ZBN7hfFopgLPTiDuJyPuaOzNf7494jHJYzirZoiZSYCIfC90Qu4PTQ0OoenUMrlmFr9Rw0RgZVQ1jLi_gbqq4SHUjBmacgpr1zF5h3nRWHQ.jpg""}","{""href"": ""https://t.me/Fennomatkat"",""label"":""Link""}"
Fennomatkatchat,Tervetuloa Fennomaan ylläpitämälle matkailun ja tapahtumien yleiseen ja avoimeen keskusteluryhmään. Chatti 2.0 perustettiin puhtaalta pöydältä aiemman ryhmän moderointiongelmien seurauksena 2.11.2022.,68,https://cdn4.cdn-telegram.org/file/vlmRtYsRxMcBSxwInLtKTix312W7gBH6Ka9QXDFGYE8nkFKPyTlLoz2bNeg8bgQYdGcRmCmOlbLkrvpHrFkmCUZFU4A7W2yIo1dAFgzsCF7dk3Pixs3PpFRhfPxwGXv1qR_n7mFuubV648OzynWpJZKsv8ihHvcgcef9W3u_vLuLesWcVuXvDulew-IWllIHF7FOm3v-kbLYtgbHFJ2N8HMtRl2PuUWQoo6T6DCyRwbwfGtab_QD-AL_Zkr3eQ6UKvkElJP8sz-H-DV3SOn-Czu6r6LplwdW1zD0V59iSY9PIURSFuoV3qqYC89XP6FgumIHNiC82ItLEmaz_xJVMA.jpg,"{""img_src"": ""https://cdn4.cdn-telegram.org/file/vlmRtYsRxMcBSxwInLtKTix312W7gBH6Ka9QXDFGYE8nkFKPyTlLoz2bNeg8bgQYdGcRmCmOlbLkrvpHrFkmCUZFU4A7W2yIo1dAFgzsCF7dk3Pixs3PpFRhfPxwGXv1qR_n7mFuubV648OzynWpJZKsv8ihHvcgcef9W3u_vLuLesWcVuXvDulew-IWllIHF7FOm3v-kbLYtgbHFJ2N8HMtRl2PuUWQoo6T6DCyRwbwfGtab_QD-AL_Zkr3eQ6UKvkElJP8sz-H-DV3SOn-Czu6r6LplwdW1zD0V59iSY9PIURSFuoV3qqYC89XP6FgumIHNiC82ItLEmaz_xJVMA.jpg""}","{""href"": ""https://t.me/Fennomatkatchat"",""label"":""Link""}"
